# Title: Line and Mean Opacities for Ultra-cool Dwarfs and Extrasolar Planets
# Authors: Freedman R.,  Marley M.S., Lodders K.
# Table: Mean Opacities for [M/H] = 0.0
# Modified by Zifan Lin into rectangular grid
# Empty (low P-T) grid points filled with 75 K, 3.0E+2 dyne/cm2 data
# Pressure, density, kappaR and kappaP are isothermally extended to 1.0e13 Pa (1.0e14 0.1 Pa)
# Temp (K)	Pressure (0.1 Pa)	Density (g/cm3)	kappaR (cm2/g)	kappaP (cm2/g)
500	1.00E+05	5.6742E-06	6.1112E-03	3.4219E+00
500	3.00E+05	1.7022E-05	1.4527E-02	3.5424E+00
500	1.00E+06	5.6743E-05	3.2778E-02	3.5702E+00
500	3.00E+06	1.7023E-04	6.0423E-02	3.5855E+00
500	1.00E+07	5.6743E-04	8.9339E-02	3.6354E+00
500	3.00E+07	1.7022E-03	1.2318E-01	3.7744E+00
500	1.00E+08	5.6743E-03	2.1148E-01	4.2625E+00
500	3.00E+08	1.7022E-02	4.0111E-01	5.6548E+00
650	3.00E+02	1.3091E-08	2.0363E-04	2.3864E+00
650	3.00E+03	1.3092E-07	8.7869E-04	2.6149E+00
650	1.00E+04	4.3642E-07	1.8741E-03	2.6019E+00
650	3.00E+04	1.3093E-06	3.9316E-03	2.5815E+00
650	1.00E+05	4.3642E-06	9.2951E-03	2.6039E+00
650	3.00E+05	1.3093E-05	2.0219E-02	2.6639E+00
650	1.00E+06	4.3646E-05	4.3391E-02	2.7935E+00
650	3.00E+06	1.3094E-04	7.5481E-02	2.9188E+00
650	1.00E+07	4.3647E-04	1.1777E-01	2.9922E+00
650	3.00E+07	1.3094E-03	1.6731E-01	3.0988E+00
650	1.00E+08	4.3647E-03	2.6658E-01	3.4557E+00
650	3.00E+08	1.3094E-02	4.8613E-01	4.4741E+00
800	3.00E+02	1.0628E-08	1.1247E-04	1.0260E+00
800	3.00E+03	1.0631E-07	1.4297E-03	1.3943E+00
800	1.00E+04	3.5450E-07	4.0814E-03	1.9750E+00
800	3.00E+04	1.0637E-06	7.5235E-03	2.2342E+00
800	1.00E+05	3.5459E-06	1.3357E-02	2.2620E+00
800	3.00E+05	1.0638E-05	2.3304E-02	2.2646E+00
800	1.00E+06	3.5460E-05	4.2386E-02	2.2882E+00
800	3.00E+06	1.0638E-04	6.9395E-02	2.3455E+00
800	1.00E+07	3.5463E-04	1.1250E-01	2.4675E+00
800	3.00E+07	1.0639E-03	1.7138E-01	2.6081E+00
800	1.00E+08	3.5464E-03	2.9415E-01	2.9295E+00
800	3.00E+08	1.0639E-02	5.6348E-01	3.8190E+00
