Title: Line and Mean Opacities for Ultracool Dwarfs and Extrasolar Planets
Authors: Freedman R.,  Marley M.S., Lodders K.
Table: Mean Opacities for [M/H] = +0.3
================================================================================
Byte-by-byte Description of file: datafile2.txt
--------------------------------------------------------------------------------
   Bytes Format Units     Label                   Explanations
--------------------------------------------------------------------------------
   1-  4 I4     K         Temp      Gas temperature 
   6- 10 E5.0   0.1PA     Pressure  Gas pressure in units of dyne/cm^2^ 
  12- 21 E10.4  g/cm^3    Density   Gas density (1)
  23- 32 E10.4  cm^2/g    kappaR    Rosseland mean opacity (1)
  34- 43 E10.4  cm^2/g    kappaP    Planck mean opacity (1)
--------------------------------------------------------------------------------
Note (1): For [M/H] = +0.3, compared to solar abundances of Lodders (2003).
--------------------------------------------------------------------------------
 800 3E+02 1.0715E-08 1.5570E-04 2.0225E+00 
 800 3E+03 1.0719E-07 2.0721E-03 2.5002E+00 
 800 1E+04 3.5759E-07 6.7594E-03 3.5885E+00 
 800 3E+04 1.0734E-06 1.3860E-02 4.3305E+00 
 800 1E+05 3.5785E-06 2.4795E-02 4.4670E+00 
 800 3E+05 1.0736E-05 4.2443E-02 4.4770E+00 
 800 1E+06 3.5785E-05 7.5450E-02 4.5100E+00 
 800 3E+06 1.0736E-04 1.2054E-01 4.5924E+00 
 800 1E+07 3.5790E-04 1.8916E-01 4.7881E+00 
 800 3E+07 1.0738E-03 2.7550E-01 5.0108E+00 
 800 1E+08 3.5794E-03 4.2952E-01 5.3529E+00 
 800 3E+08 1.0738E-02 7.3959E-01 6.2244E+00 
1000 3E+02 8.5726E-09 1.2978E-04 1.7922E+00 
1000 3E+03 8.5726E-08 4.8107E-04 1.7903E+00 
1000 1E+04 2.8576E-07 1.2950E-03 1.7924E+00 
1000 3E+04 8.5731E-07 3.4448E-03 1.8428E+00 
1000 1E+05 2.8589E-06 1.0114E-02 2.2127E+00 
1000 3E+05 8.5832E-06 2.4271E-02 3.0095E+00 
1000 1E+06 2.8626E-05 4.5387E-02 3.6189E+00 
1000 3E+06 8.5886E-05 6.6785E-02 3.7448E+00 
1000 1E+07 2.8629E-04 1.0031E-01 3.8187E+00 
1000 3E+07 8.5895E-04 1.5714E-01 3.9748E+00 
1000 1E+08 2.8635E-03 2.8873E-01 4.3856E+00 
1000 3E+08 8.5906E-03 5.5102E-01 5.3298E+00 
1200 3E+02 7.1441E-09 5.5150E-04 1.4341E+00 
1200 3E+03 7.1440E-08 7.9403E-04 1.4351E+00 
1200 1E+04 2.3813E-07 1.1186E-03 1.4379E+00 
1200 3E+04 7.1440E-07 1.7320E-03 1.4438E+00 
1200 1E+05 2.3814E-06 3.2362E-03 1.4583E+00 
1200 3E+05 7.1445E-06 6.5302E-03 1.5162E+00 
1200 1E+06 2.3824E-05 1.6008E-02 1.8528E+00 
1200 3E+06 7.1530E-05 3.4671E-02 2.5326E+00 
1200 1E+07 2.3858E-04 6.3431E-02 3.0509E+00 
1200 3E+07 7.1582E-04 1.0495E-01 3.2402E+00 
1200 1E+08 2.3863E-03 2.0266E-01 3.6075E+00 
1200 3E+08 7.1589E-03 3.8461E-01 4.5638E+00 
1400 3E+02 6.1389E-09 1.9714E-03 1.3772E+00 
1400 3E+03 6.1249E-08 1.8183E-03 1.2242E+00 
1400 1E+04 2.0413E-07 2.0333E-03 1.2050E+00 
1400 3E+04 6.1235E-07 2.4936E-03 1.2036E+00 
1400 1E+05 2.0411E-06 3.4552E-03 1.2120E+00 
1400 3E+05 6.1233E-06 5.1613E-03 1.2351E+00 
1400 1E+06 2.0411E-05 8.9716E-03 1.3118E+00 
1400 3E+06 6.1247E-05 1.6862E-02 1.5023E+00 
1400 1E+07 2.0430E-04 3.8422E-02 2.0262E+00 
1400 3E+07 6.1337E-04 7.6779E-02 2.6154E+00 
1400 1E+08 2.0451E-03 1.5530E-01 3.1212E+00 
1400 3E+08 6.1361E-03 3.1086E-01 4.1044E+00 
1600 3E+02 5.3797E-09 5.1692E-03 1.2591E+00 
1600 3E+03 5.3852E-08 5.3440E-03 1.2578E+00 
1600 1E+04 1.7955E-07 5.5024E-03 1.2630E+00 
1600 3E+04 5.3778E-07 5.7853E-03 1.2767E+00 
1600 1E+05 1.7884E-06 6.1851E-03 1.1691E+00 
1600 3E+05 5.3610E-06 7.4929E-03 1.2035E+00 
1600 1E+06 1.7863E-05 1.0735E-02 1.4020E+00 
1600 3E+06 5.3584E-05 1.6725E-02 1.6515E+00 
1600 1E+07 1.7864E-04 3.0178E-02 1.8651E+00 
1600 3E+07 5.3625E-04 6.2251E-02 2.3017E+00 
1600 1E+08 1.7890E-03 1.4059E-01 3.0625E+00 
1600 3E+08 5.3687E-03 2.8037E-01 4.1420E+00 
1800 3E+02 4.7440E-09 1.1298E-02 1.1418E+00 
1800 3E+03 4.7751E-08 1.1772E-02 1.1382E+00 
1800 1E+04 1.5940E-07 1.1913E-02 1.1371E+00 
1800 3E+04 4.7854E-07 1.1320E-02 1.1469E+00 
1800 1E+05 1.5957E-06 1.3050E-02 1.2236E+00 
