# PKCl(GPa),aKCl(Å),T (K),phase,ahcp (Å),chcp (Å),afcc (Å),PFe(GPa)
 131.0 , 2.884 ,3644,e,,,,
 130.0 , 2.885 ,3626,e,,,,
 131.0 , 2.884 ,3666,e,,,,
 131.0 , 2.884 ,3686,e,,,,
 133.0 , 2.881 ,3922,e,,,,
 133.0 , 2.881 ,4097,e,,,,
 154.0 , 2.836 ,3295,e,,,,
 155.0 , 2.835 ,3256,e,,,,
 156.0 , 2.833 ,3443,e,,,,
 156.0 , 2.834 ,3532,e,,,,
 154.0 , 2.838 ,3685,e,,,,
 155.0 , 2.837 ,3728,e,,,,
 155.0 , 2.837 ,3835,e,,,,
 180.0 , 2.792 ,3286,e,,,,
 180.0 , 2.793 ,3326,e,,,,
 180.0 , 2.792 ,3384,e,,,,
 180.0 , 2.793 ,3469,e,,,,
 180.0 , 2.794 ,3516,e,,,,
 184.0 , 2.790 ,4587,e,,,,
 200.0 , 2.761 ,3207,e,,,,
 197.0 , 2.767 ,3242,e,,,,
 201.0 , 2.761 ,3317,e,,,,
 203.0 , 2.761 ,4073,e,,,,
 204.0 , 2.760 ,4334,e,,,,
 205.0 , 2.760 ,4642,e,,,,
 204.0 , 2.762 ,4923,e,,,,
 164.0 , 2.819 ,2738,e,,,,
 162.0 , 2.816 ,2956,e,,,,
 163.0 , 2.819 ,3156,e,,,,
 166.0 , 2.816 ,3276,e,,,,
 165.0 , 2.816 ,3321,e,,,,
 165.0 , 2.818 ,3364,e,,,,
 166.0 , 2.816 ,3439,e,,,,
 164.0 , 2.819 ,3598,e,,,,
 165.0 , 2.819 ,3806,e,,,,
 51.7 , 3.128 ,2016,e+g, 2.398 , 3.881 , 3.402 , 50.1 
 51.7 , 3.128 ,2026,e+g, 2.398 , 3.882 ,, 50.1 
 51.2 , 3.131 ,2078,e+g, 2.398 , 3.882 ,, 50.6 
 52.2 , 3.129 ,2299,e+g, 2.394 , 3.891 , 3.398 , 53.1 
 52.3 , 3.128 ,2268,e+g, 2.392 , 3.888 , 3.396 , 53.6 
 52.5 , 3.128 ,2378,e+g, 2.400 , 3.860 , 3.395 , 54.8 
 52.5 , 3.129 ,2444,e+g, 2.400 , 3.860 , 3.399 , 55.5 
 76.6 , 3.031 ,3067,e+g, 2.364 , 3.835 ,, 75.5 
 75.2 , 3.036 ,3013,e+g, 2.365 , 3.822 ,, 76.0 
 74.3 , 3.038 ,2979,e+g, 2.366 , 3.810 ,, 76.6 
 76.1 , 3.032 ,2973,e+g, 2.360 , 3.825 ,, 77.0 
 76.7 , 3.031 ,3028,e+g, 2.365 , 3.812 ,, 77.2 
 74.2 , 3.039 ,3113,e+g, 2.362 , 3.822 ,, 78.1 
 74.8 , 3.039 ,3040,e+g, 2.364 , 3.805 ,, 78.5 
 74.4 , 3.039 ,3007,e+g, 2.360 , 3.805 ,, 79.5 
 77.0 , 3.031 ,3164,e+g,,, 3.346 , 79.7 
 74.9 , 3.041 ,3259,e+g, 2.361 , 3.822 ,, 80.0 
 86.8 , 2.999 ,3362,e+g, 2.354 , 3.811 ,, 84.8 
 85.7 , 3.002 ,3374,e+g, 2.352 , 3.812 ,, 85.6 
 85.3 , 3.002 ,3203,e+g, 2.349 , 3.805 ,, 85.6 
 87.0 , 2.997 ,3270,e+g, 2.348 , 3.810 ,, 86.2 
 86.9 , 2.998 ,3272,e+g, 2.350 , 3.801 ,, 86.5 
 85.7 , 3.003 ,3411,e+g, 2.352 , 3.805 ,, 86.8 
 85.1 , 3.004 ,3549,e+g, 2.353 , 3.812 , 3.328 , 87.1 
 85.3 , 3.003 ,3239,e+g, 2.348 , 3.795 ,, 87.6 
 85.6 , 3.003 ,3402,e+g, 2.352 , 3.797 ,, 87.6 
 85.4 , 3.003 ,3309,e+g, 2.348 , 3.790 ,, 88.9 
 86.2 , 3.002 ,3535,e+g, 2.350 , 3.805 ,, 88.9 
 87.5 , 2.996 ,3346,e+g, 2.352 , 3.780 ,, 89.0 
 85.9 , 3.002 ,3454,e+g, 2.342 , 3.785 , 3.329 , 93.4 
 74.2 , 3.038 ,3001,e+g,,,,
 74.7 , 3.039 ,3191,e+g,,,,
 74.1 , 3.039 ,3056,e+g,,,,
 74.7 , 3.041 ,3114,e+g,,,,
 85.8 , 3.002 ,3395,e+g,, 3.813 ,,
 51.9 , 3.128 ,2124,e+g,,,,
 76.6 , 3.031 ,2981,e+g,,,,
 52.2 , 3.129 ,2364,g,,, 3.404 , 52.8 
 52.3 , 3.129 ,2307,g,,, 3.402 , 52.9 
 51.3 , 3.136 ,2502,g,,, 3.407 , 53.1 
 52.3 , 3.129 ,2335,g,,, 3.400 , 53.7 
 52.3 , 3.129 ,2397,g,,, 3.402 , 53.7 
 51.0 , 3.138 ,2520,g,,, 3.405 , 53.9 
 52.9 , 3.131 ,2837,g,,, 3.413 , 54.4 
 52.8 , 3.128 ,2491,g,,, 3.402 , 54.5 
 53.3 , 3.129 ,2813,g,,, 3.412 , 54.5 
 52.7 , 3.130 ,2582,g,,, 3.405 , 54.5 
 52.8 , 3.129 ,2635,g,,, 3.406 , 54.6 
 53.2 , 3.129 ,2757,g,,, 3.410 , 54.6 
 49.9 , 3.147 ,2785,g,,, 3.410 , 54.8 
 52.7 , 3.136 ,3137,g,,, 3.420 , 55.2 
 52.9 , 3.130 ,2704,g,,, 3.406 , 55.3 
 51.7 , 3.136 ,2674,g,,, 3.405 , 55.3 
 53.2 , 3.131 ,2938,g,,, 3.413 , 55.3 
