# K2-18b_model2_neptune_like
# Calculated total mass (Me): 8.6323368496
# Calculated total radius (Re): 2.6479532256
# Calculated surface pressure (bar): 0.3016368775
# Calculated surface density (kg m-3): 0.0332371821
# Mass at layer boundaries (Me): 1.2820836947 3.8849437859 8.6305908010 8.6323368496
# Radius at layer boundaries (Re): 0.6978512008 1.2764102967 2.4099686078 2.6479532256
# Pressure at layer boundaries (GPa): 1098.3905876140 352.3406063553 0.0466341277 0.0000301637
# Temperature at layer boundaries (K): 8000.0000000000 8000.0000000000 1801.1224160149 255.5069202060
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
4.5832395594e+17	1.6710000000e+04	2.4089786616e+12	23662.5964645575	8000.0000000000	core
4.6662676712e+17	1.6810000000e+04	2.4089784024e+12	23662.5956913451	8000.0000000000	core
4.7502925073e+17	1.6910000000e+04	2.4089781416e+12	23662.5949134354	8000.0000000000	core
4.8353200148e+17	1.7010000000e+04	2.4089778792e+12	23662.5941308283	8000.0000000000	core
4.9213561405e+17	1.7110000000e+04	2.4089776153e+12	23662.5933435240	8000.0000000000	core
5.0084068316e+17	1.7210000000e+04	2.4089773498e+12	23662.5925515223	8000.0000000000	core
5.0964780350e+17	1.7310000000e+04	2.4089770827e+12	23662.5917548233	8000.0000000000	core
5.1855756976e+17	1.7410000000e+04	2.4089768141e+12	23662.5909534270	8000.0000000000	core
5.2757057664e+17	1.7510000000e+04	2.4089765439e+12	23662.5901473334	8000.0000000000	core
5.3668741883e+17	1.7610000000e+04	2.4089762722e+12	23662.5893365425	8000.0000000000	core
5.4590869105e+17	1.7710000000e+04	2.4089759989e+12	23662.5885210543	8000.0000000000	core
5.5523498797e+17	1.7810000000e+04	2.4089757240e+12	23662.5877008687	8000.0000000000	core
5.6466690430e+17	1.7910000000e+04	2.4089754475e+12	23662.5868759858	8000.0000000000	core
5.7420503474e+17	1.8010000000e+04	2.4089751695e+12	23662.5860464057	8000.0000000000	core
5.8384997397e+17	1.8110000000e+04	2.4089748899e+12	23662.5852121282	8000.0000000000	core
5.9360231670e+17	1.8210000000e+04	2.4089746088e+12	23662.5843731533	8000.0000000000	core
6.0346265763e+17	1.8310000000e+04	2.4089743261e+12	23662.5835294812	8000.0000000000	core
