# K2-18b_model1_iron_rich
# Calculated total mass (Me): 8.6193375368
# Calculated total radius (Re): 2.7538235756
# Calculated surface pressure (bar): 0.2905034707
# Calculated surface density (kg m-3): 0.0318781628
# Mass at layer boundaries (Me): 8.1757340235 8.2015364023 8.6193375368
# Radius at layer boundaries (Re): 1.3100941767 1.3229022132 2.7538235756
# Pressure at layer boundaries (GPa): 60.4444635523 52.3612978474 0.0000290503
# Temperature at layer boundaries (K): 5500.0000000000 5357.7978980194 256.6242775265
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
5.0099603763e+25	1.0815910000e+07	1.5265034319e+10	293.9677834590	4710.3771984358	H/He
5.0099646978e+25	1.0816010000e+07	1.5264194059e+10	293.9591596786	4710.3509127089	H/He
5.0099690192e+25	1.0816110000e+07	1.5263353839e+10	293.9505363067	4710.3246269514	H/He
5.0099733407e+25	1.0816210000e+07	1.5262513658e+10	293.9419133433	4710.2983411633	H/He
5.0099776620e+25	1.0816310000e+07	1.5261673516e+10	293.9332907885	4710.2720553447	H/He
5.0099819834e+25	1.0816410000e+07	1.5260833414e+10	293.9246686420	4710.2457694954	H/He
5.0099863046e+25	1.0816510000e+07	1.5259993352e+10	293.9160469041	4710.2194836154	H/He
5.0099906259e+25	1.0816610000e+07	1.5259153329e+10	293.9074255745	4710.1931977048	H/He
5.0099949470e+25	1.0816710000e+07	1.5258313345e+10	293.8988046534	4710.1669117636	H/He
5.0099992682e+25	1.0816810000e+07	1.5257473401e+10	293.8901841406	4710.1406257916	H/He
5.0100035893e+25	1.0816910000e+07	1.5256633496e+10	293.8815640361	4710.1143397889	H/He
5.0100079103e+25	1.0817010000e+07	1.5255793631e+10	293.8729443400	4710.0880537554	H/He
5.0100122313e+25	1.0817110000e+07	1.5254953805e+10	293.8643250522	4710.0617676912	H/He
5.0100165523e+25	1.0817210000e+07	1.5254114018e+10	293.8557061726	4710.0354815962	H/He
5.0100208732e+25	1.0817310000e+07	1.5253274271e+10	293.8470877013	4710.0091954704	H/He
5.0100251940e+25	1.0817410000e+07	1.5252434563e+10	293.8384696381	4709.9829093138	H/He
5.0100295148e+25	1.0817510000e+07	1.5251594895e+10	293.8298519832	4709.9566231263	H/He
5.0100338356e+25	1.0817610000e+07	1.5250755266e+10	293.8212347365	4709.9303369079	H/He
5.0100381563e+25	1.0817710000e+07	1.5249915677e+10	293.8126178979	4709.9040506587	H/He
5.0100424770e+25	1.0817810000e+07	1.5249076127e+10	293.8040014674	4709.8777643786	H/He
5.0100467976e+25	1.0817910000e+07	1.5248236617e+10	293.7953854450	4709.8514780675	H/He
5.0100511182e+25	1.0818010000e+07	1.5247397146e+10	293.7867698307	4709.8251917255	H/He
5.0100554387e+25	1.0818110000e+07	1.5246557714e+10	293.7781546244	4709.7989053525	H/He
5.0100597592e+25	1.0818210000e+07	1.5245718322e+10	293.7695398261	4709.7726189485	H/He
5.0100640796e+25	1.0818310000e+07	1.5244878969e+10	293.7609254359	4709.7463325135	H/He
5.0100684000e+25	1.0818410000e+07	1.5244039655e+10	293.7523114536	4709.7200460475	H/He
5.0100727204e+25	1.0818510000e+07	1.5243200381e+10	293.7436978792	4709.6937595504	H/He
5.0100770406e+25	1.0818610000e+07	1.5242361147e+10	293.7350847128	4709.6674730222	H/He
5.0100813609e+25	1.0818710000e+07	1.5241521951e+10	293.7264719542	4709.6411864630	H/He
5.0100856811e+25	1.0818810000e+07	1.5240682795e+10	293.7178596036	4709.6148998726	H/He
5.0100900012e+25	1.0818910000e+07	1.5239843679e+10	293.7092476607	4709.5886132512	H/He
5.0100943214e+25	1.0819010000e+07	1.5239004602e+10	293.7006361257	4709.5623265985	H/He
5.0100986414e+25	1.0819110000e+07	1.5238165564e+10	293.6920249985	4709.5360399147	H/He
5.0101029614e+25	1.0819210000e+07	1.5237326566e+10	293.6834142791	4709.5097531997	H/He
5.0101072814e+25	1.0819310000e+07	1.5236487607e+10	293.6748039674	4709.4834664535	H/He
5.0101116013e+25	1.0819410000e+07	1.5235648687e+10	293.6661940634	4709.4571796760	H/He
5.0101159212e+25	1.0819510000e+07	1.5234809807e+10	293.6575845672	4709.4308928673	H/He
5.0101202410e+25	1.0819610000e+07	1.5233970967e+10	293.6489754786	4709.4046060273	H/He
5.0101245608e+25	1.0819710000e+07	1.5233132165e+10	293.6403667976	4709.3783191560	H/He
5.0101288805e+25	1.0819810000e+07	1.5232293403e+10	293.6317585243	4709.3520322534	H/He
5.0101332002e+25	1.0819910000e+07	1.5231454680e+10	293.6231506586	4709.3257453195	H/He
5.0101375198e+25	1.0820010000e+07	1.5230615997e+10	293.6145432004	4709.2994583542	H/He
5.0101418394e+25	1.0820110000e+07	1.5229777353e+10	293.6059361498	4709.2731713575	H/He
5.0101461590e+25	1.0820210000e+07	1.5228938749e+10	293.5973295067	4709.2468843294	H/He
5.0101504785e+25	1.0820310000e+07	1.5228100183e+10	293.5887232711	4709.2205972699	H/He
5.0101547979e+25	1.0820410000e+07	1.5227261658e+10	293.5801174430	4709.1943101790	H/He
5.0101591173e+25	1.0820510000e+07	1.5226423171e+10	293.5715120223	4709.1680230566	H/He
5.0101634367e+25	1.0820610000e+07	1.5225584724e+10	293.5629070091	4709.1417359027	H/He
5.0101677560e+25	1.0820710000e+07	1.5224746316e+10	293.5543024033	4709.1154487173	H/He
5.0101720753e+25	1.0820810000e+07	1.5223907948e+10	293.5456982048	4709.0891615004	H/He
5.0101763945e+25	1.0820910000e+07	1.5223069619e+10	293.5370944137	4709.0628742520	H/He
5.0101807137e+25	1.0821010000e+07	1.5222231329e+10	293.5284910299	4709.0365869720	H/He
5.0101850328e+25	1.0821110000e+07	1.5221393078e+10	293.5198880534	4709.0102996604	H/He
5.0101893519e+25	1.0821210000e+07	1.5220554867e+10	293.5112854842	4708.9840123172	H/He
5.0101936709e+25	1.0821310000e+07	1.5219716696e+10	293.5026833222	4708.9577249423	H/He
5.0101979899e+25	1.0821410000e+07	1.5218878563e+10	293.4940815674	4708.9314375359	H/He
5.0102023088e+25	1.0821510000e+07	1.5218040470e+10	293.4854802199	4708.9051500977	H/He
5.0102066277e+25	1.0821610000e+07	1.5217202416e+10	293.4768792795	4708.8788626279	H/He
5.0102109466e+25	1.0821710000e+07	1.5216364402e+10	293.4682787463	4708.8525751264	H/He
5.0102152654e+25	1.0821810000e+07	1.5215526427e+10	293.4596786202	4708.8262875931	H/He
5.0102195841e+25	1.0821910000e+07	1.5214688491e+10	293.4510789012	4708.8000000281	H/He
5.0102239028e+25	1.0822010000e+07	1.5213850595e+10	293.4424795893	4708.7737124314	H/He
5.0102282215e+25	1.0822110000e+07	1.5213012737e+10	293.4338806845	4708.7474248028	H/He
5.0102325401e+25	1.0822210000e+07	1.5212174920e+10	293.4252821866	4708.7211371424	H/He
5.0102368586e+25	1.0822310000e+07	1.5211337141e+10	293.4166840958	4708.6948494502	H/He
5.0102411772e+25	1.0822410000e+07	1.5210499402e+10	293.4080864120	4708.6685617262	H/He
5.0102454956e+25	1.0822510000e+07	1.5209661702e+10	293.3994891351	4708.6422739703	H/He
5.0102498140e+25	1.0822610000e+07	1.5208824041e+10	293.3908922651	4708.6159861825	H/He
5.0102541324e+25	1.0822710000e+07	1.5207986420e+10	293.3822958021	4708.5896983627	H/He
5.0102584508e+25	1.0822810000e+07	1.5207148838e+10	293.3736997459	4708.5634105111	H/He
5.0102627690e+25	1.0822910000e+07	1.5206311295e+10	293.3651040965	4708.5371226275	H/He
5.0102670873e+25	1.0823010000e+07	1.5205473792e+10	293.3565088540	4708.5108347119	H/He
5.0102714055e+25	1.0823110000e+07	1.5204636328e+10	293.3479140183	4708.4845467643	H/He
5.0102757236e+25	1.0823210000e+07	1.5203798903e+10	293.3393195894	4708.4582587847	H/He
5.0102800417e+25	1.0823310000e+07	1.5202961517e+10	293.3307255673	4708.4319707731	H/He
5.0102843598e+25	1.0823410000e+07	1.5202124171e+10	293.3221319518	4708.4056827294	H/He
5.0102886778e+25	1.0823510000e+07	1.5201286864e+10	293.3135387431	4708.3793946537	H/He
5.0102929957e+25	1.0823610000e+07	1.5200449596e+10	293.3049459411	4708.3531065458	H/He
5.0102973136e+25	1.0823710000e+07	1.5199612368e+10	293.2963535457	4708.3268184058	H/He
5.0103016315e+25	1.0823810000e+07	1.5198775179e+10	293.2877615570	4708.3005302337	H/He
5.0103059493e+25	1.0823910000e+07	1.5197938029e+10	293.2791699748	4708.2742420295	H/He
5.0103102671e+25	1.0824010000e+07	1.5197100918e+10	293.2705787992	4708.2479537930	H/He
5.0103145848e+25	1.0824110000e+07	1.5196263847e+10	293.2619880302	4708.2216655244	H/He
5.0103189025e+25	1.0824210000e+07	1.5195426815e+10	293.2533976678	4708.1953772235	H/He
5.0103232201e+25	1.0824310000e+07	1.5194589822e+10	293.2448077118	4708.1690888904	H/He
5.0103275377e+25	1.0824410000e+07	1.5193752869e+10	293.2362181623	4708.1428005250	H/He
5.0103318552e+25	1.0824510000e+07	1.5192915954e+10	293.2276290193	4708.1165121274	H/He
5.0103361727e+25	1.0824610000e+07	1.5192079079e+10	293.2190402827	4708.0902236974	H/He
5.0103404901e+25	1.0824710000e+07	1.5191242243e+10	293.2104519525	4708.0639352352	H/He
5.0103448075e+25	1.0824810000e+07	1.5190405447e+10	293.2018640288	4708.0376467406	H/He
5.0103491249e+25	1.0824910000e+07	1.5189568690e+10	293.1932765113	4708.0113582136	H/He
5.0103534422e+25	1.0825010000e+07	1.5188731972e+10	293.1846894002	4707.9850696542	H/He
5.0103577594e+25	1.0825110000e+07	1.5187895293e+10	293.1761026954	4707.9587810624	H/He
5.0103620767e+25	1.0825210000e+07	1.5187058653e+10	293.1675163969	4707.9324924382	H/He
5.0103663938e+25	1.0825310000e+07	1.5186222053e+10	293.1589305047	4707.9062037816	H/He
5.0103707109e+25	1.0825410000e+07	1.5185385492e+10	293.1503450187	4707.8799150925	H/He
5.0103750280e+25	1.0825510000e+07	1.5184548970e+10	293.1417599389	4707.8536263709	H/He
5.0103793450e+25	1.0825610000e+07	1.5183712487e+10	293.1331752653	4707.8273376168	H/He
5.0103836620e+25	1.0825710000e+07	1.5182876044e+10	293.1245909979	4707.8010488302	H/He
5.0103879789e+25	1.0825810000e+07	1.5182039640e+10	293.1160071366	4707.7747600110	H/He
5.0103922958e+25	1.0825910000e+07	1.5181203275e+10	293.1074236814	4707.7484711592	H/He
5.0103966126e+25	1.0826010000e+07	1.5180366949e+10	293.0988406323	4707.7221822749	H/He
5.0104009294e+25	1.0826110000e+07	1.5179530663e+10	293.0902579892	4707.6958933579	H/He
5.0104052462e+25	1.0826210000e+07	1.5178694416e+10	293.0816757522	4707.6696044083	H/He
5.0104095629e+25	1.0826310000e+07	1.5177858207e+10	293.0730939212	4707.6433154261	H/He
5.0104138795e+25	1.0826410000e+07	1.5177022039e+10	293.0645124963	4707.6170264112	H/He
5.0104181961e+25	1.0826510000e+07	1.5176185909e+10	293.0559314772	4707.5907373636	H/He
5.0104225127e+25	1.0826610000e+07	1.5175349819e+10	293.0473508641	4707.5644482833	H/He
5.0104268292e+25	1.0826710000e+07	1.5174513767e+10	293.0387706570	4707.5381591702	H/He
5.0104311457e+25	1.0826810000e+07	1.5173677755e+10	293.0301908557	4707.5118700244	H/He
5.0104354621e+25	1.0826910000e+07	1.5172841782e+10	293.0216114603	4707.4855808458	H/He
5.0104397784e+25	1.0827010000e+07	1.5172005849e+10	293.0130324707	4707.4592916344	H/He
5.0104440948e+25	1.0827110000e+07	1.5171169954e+10	293.0044538869	4707.4330023902	H/He
5.0104484110e+25	1.0827210000e+07	1.5170334099e+10	292.9958757090	4707.4067131132	H/He
5.0104527273e+25	1.0827310000e+07	1.5169498283e+10	292.9872979368	4707.3804238033	H/He
5.0104570434e+25	1.0827410000e+07	1.5168662506e+10	292.9787205703	4707.3541344606	H/He
5.0104613596e+25	1.0827510000e+07	1.5167826769e+10	292.9701436096	4707.3278450849	H/He
5.0104656757e+25	1.0827610000e+07	1.5166991070e+10	292.9615670545	4707.3015556763	H/He
5.0104699917e+25	1.0827710000e+07	1.5166155411e+10	292.9529909052	4707.2752662348	H/He
5.0104743077e+25	1.0827810000e+07	1.5165319791e+10	292.9444151614	4707.2489767603	H/He
5.0104786237e+25	1.0827910000e+07	1.5164484210e+10	292.9358398233	4707.2226872528	H/He
5.0104829396e+25	1.0828010000e+07	1.5163648668e+10	292.9272648908	4707.1963977123	H/He
5.0104872554e+25	1.0828110000e+07	1.5162813165e+10	292.9186903639	4707.1701081388	H/He
5.0104915712e+25	1.0828210000e+07	1.5161977702e+10	292.9101162425	4707.1438185323	H/He
5.0104958870e+25	1.0828310000e+07	1.5161142278e+10	292.9015425266	4707.1175288927	H/He
5.0105002027e+25	1.0828410000e+07	1.5160306892e+10	292.8929692162	4707.0912392200	H/He
5.0105045184e+25	1.0828510000e+07	1.5159471547e+10	292.8843963113	4707.0649495142	H/He
5.0105088340e+25	1.0828610000e+07	1.5158636240e+10	292.8758238118	4707.0386597753	H/He
5.0105131496e+25	1.0828710000e+07	1.5157800972e+10	292.8672517178	4707.0123700032	H/He
5.0105174651e+25	1.0828810000e+07	1.5156965744e+10	292.8586800292	4706.9860801979	H/He
5.0105217806e+25	1.0828910000e+07	1.5156130554e+10	292.8501087459	4706.9597903595	H/He
5.0105260960e+25	1.0829010000e+07	1.5155295404e+10	292.8415378680	4706.9335004879	H/He
5.0105304114e+25	1.0829110000e+07	1.5154460293e+10	292.8329673954	4706.9072105830	H/He
5.0105347268e+25	1.0829210000e+07	1.5153625221e+10	292.8243973281	4706.8809206449	H/He
5.0105390421e+25	1.0829310000e+07	1.5152790188e+10	292.8158276661	4706.8546306735	H/He
5.0105433573e+25	1.0829410000e+07	1.5151955195e+10	292.8072584093	4706.8283406688	H/He
5.0105476725e+25	1.0829510000e+07	1.5151120240e+10	292.7986895578	4706.8020506308	H/He
5.0105519877e+25	1.0829610000e+07	1.5150285325e+10	292.7901211114	4706.7757605595	H/He
5.0105563028e+25	1.0829710000e+07	1.5149450449e+10	292.7815530703	4706.7494704548	H/He
5.0105606178e+25	1.0829810000e+07	1.5148615612e+10	292.7729854342	4706.7231803168	H/He
5.0105649329e+25	1.0829910000e+07	1.5147780814e+10	292.7644182034	4706.6968901453	H/He
5.0105692478e+25	1.0830010000e+07	1.5146946055e+10	292.7558513776	4706.6705999405	H/He
5.0105735628e+25	1.0830110000e+07	1.5146111335e+10	292.7472849569	4706.6443097022	H/He
5.0105778776e+25	1.0830210000e+07	1.5145276655e+10	292.7387189412	4706.6180194304	H/He
5.0105821925e+25	1.0830310000e+07	1.5144442013e+10	292.7301533306	4706.5917291252	H/He
5.0105865072e+25	1.0830410000e+07	1.5143607411e+10	292.7215881250	4706.5654387865	H/He
5.0105908220e+25	1.0830510000e+07	1.5142772848e+10	292.7130233243	4706.5391484142	H/He
5.0105951367e+25	1.0830610000e+07	1.5141938324e+10	292.7044589286	4706.5128580084	H/He
5.0105994513e+25	1.0830710000e+07	1.5141103839e+10	292.6958949379	4706.4865675691	H/He
5.0106037659e+25	1.0830810000e+07	1.5140269393e+10	292.6873313520	4706.4602770961	H/He
5.0106080805e+25	1.0830910000e+07	1.5139434986e+10	292.6787681711	4706.4339865896	H/He
5.0106123950e+25	1.0831010000e+07	1.5138600618e+10	292.6702053950	4706.4076960495	H/He
5.0106167094e+25	1.0831110000e+07	1.5137766290e+10	292.6616430237	4706.3814054757	H/He
5.0106210238e+25	1.0831210000e+07	1.5136932000e+10	292.6530810572	4706.3551148682	H/He
5.0106253382e+25	1.0831310000e+07	1.5136097750e+10	292.6445194955	4706.3288242271	H/He
5.0106296525e+25	1.0831410000e+07	1.5135263538e+10	292.6359583386	4706.3025335522	H/He
5.0106339668e+25	1.0831510000e+07	1.5134429366e+10	292.6273975864	4706.2762428436	H/He
5.0106382810e+25	1.0831610000e+07	1.5133595233e+10	292.6188372389	4706.2499521013	H/He
5.0106425952e+25	1.0831710000e+07	1.5132761139e+10	292.6102772961	4706.2236613252	H/He
5.0106469093e+25	1.0831810000e+07	1.5131927084e+10	292.6017177580	4706.1973705154	H/He
5.0106512234e+25	1.0831910000e+07	1.5131093068e+10	292.5931586245	4706.1710796717	H/He
5.0106555375e+25	1.0832010000e+07	1.5130259091e+10	292.5845998956	4706.1447887942	H/He
5.0106598515e+25	1.0832110000e+07	1.5129425153e+10	292.5760415713	4706.1184978828	H/He
5.0106641654e+25	1.0832210000e+07	1.5128591255e+10	292.5674836515	4706.0922069376	H/He
5.0106684793e+25	1.0832310000e+07	1.5127757395e+10	292.5589261363	4706.0659159584	H/He
5.0106727932e+25	1.0832410000e+07	1.5126923575e+10	292.5503690256	4706.0396249454	H/He
5.0106771070e+25	1.0832510000e+07	1.5126089793e+10	292.5418123194	4706.0133338984	H/He
5.0106814207e+25	1.0832610000e+07	1.5125256051e+10	292.5332560176	4705.9870428175	H/He
5.0106857344e+25	1.0832710000e+07	1.5124422347e+10	292.5247001203	4705.9607517026	H/He
5.0106900481e+25	1.0832810000e+07	1.5123588683e+10	292.5161446274	4705.9344605537	H/He
5.0106943617e+25	1.0832910000e+07	1.5122755058e+10	292.5075895389	4705.9081693708	H/He
