# K2-18b_model3_water_world
# Calculated total mass (Me): 8.6331802325
# Calculated total radius (Re): 2.6808679956
# Calculated surface pressure (bar): 0.6042639129
# Calculated surface density (kg m-3): 0.0667140091
# Mass at layer boundaries (Me): 0.2849123666 0.8633402757 8.6326627612 8.6331802325
# Radius at layer boundaries (Re): 0.4479375294 0.7869894836 2.5884649192 2.6808679956
# Pressure at layer boundaries (GPa): 699.4086478342 467.4492765930 0.0110593749 0.0000604264
# Temperature at layer boundaries (K): 5500.0000000000 5500.0000000000 721.0374590093 254.9000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
2.1632358197e+25	1.0459510000e+07	1.9067214094e+11	3382.3781766907	4179.9712706506	water
2.1632823199e+25	1.0459610000e+07	1.9066767710e+11	3382.3524734900	4179.9453216169	water
2.1633288206e+25	1.0459710000e+07	1.9066321328e+11	3382.3267704381	4179.9193724870	water
2.1633753218e+25	1.0459810000e+07	1.9065874948e+11	3382.3010675351	4179.8934232609	water
2.1634218236e+25	1.0459910000e+07	1.9065428571e+11	3382.2753647809	4179.8674739386	water
2.1634683260e+25	1.0460010000e+07	1.9064982195e+11	3382.2496621755	4179.8415245199	water
2.1635148288e+25	1.0460110000e+07	1.9064535823e+11	3382.2239597189	4179.8155750051	water
2.1635613322e+25	1.0460210000e+07	1.9064089452e+11	3382.1982574112	4179.7896253939	water
2.1636078362e+25	1.0460310000e+07	1.9063643084e+11	3382.1725552523	4179.7636756865	water
2.1636543406e+25	1.0460410000e+07	1.9063196718e+11	3382.1468532423	4179.7377258829	water
2.1637008457e+25	1.0460510000e+07	1.9062750355e+11	3382.1211513811	4179.7117759829	water
2.1637473512e+25	1.0460610000e+07	1.9062303994e+11	3382.0954496687	4179.6858259867	water
2.1637938573e+25	1.0460710000e+07	1.9061857635e+11	3382.0697481051	4179.6598758941	water
2.1638403639e+25	1.0460810000e+07	1.9061411278e+11	3382.0440466904	4179.6339257053	water
2.1638868711e+25	1.0460910000e+07	1.9060964924e+11	3382.0183454246	4179.6079754201	water
2.1639333787e+25	1.0461010000e+07	1.9060518572e+11	3381.9926443075	4179.5820250386	water
2.1639798870e+25	1.0461110000e+07	1.9060072223e+11	3381.9669433394	4179.5560745608	water
2.1640263957e+25	1.0461210000e+07	1.9059625876e+11	3381.9412425200	4179.5301239867	water
2.1640729050e+25	1.0461310000e+07	1.9059179531e+11	3381.9155418495	4179.5041733162	water
2.1641194148e+25	1.0461410000e+07	1.9058733188e+11	3381.8898413279	4179.4782225493	water
2.1641659252e+25	1.0461510000e+07	1.9058286848e+11	3381.8641409551	4179.4522716862	water
2.1642124361e+25	1.0461610000e+07	1.9057840510e+11	3381.8384407311	4179.4263207266	water
2.1642589476e+25	1.0461710000e+07	1.9057394175e+11	3381.8127406560	4179.4003696707	water
2.1643054595e+25	1.0461810000e+07	1.9056947842e+11	3381.7870407297	4179.3744185184	water
2.1643519720e+25	1.0461910000e+07	1.9056501511e+11	3381.7613409523	4179.3484672698	water
2.1643984851e+25	1.0462010000e+07	1.9056055183e+11	3381.7356413237	4179.3225159247	water
2.1644449987e+25	1.0462110000e+07	1.9055608856e+11	3381.7099418440	4179.2965644833	water
2.1644915128e+25	1.0462210000e+07	1.9055162533e+11	3381.6842425131	4179.2706129454	water
2.1645380274e+25	1.0462310000e+07	1.9054716211e+11	3381.6585433311	4179.2446613112	water
