# Earth_isothermal_iron_silicate_2layer
# Calculated total mass (Me): 1.0000047960
# Calculated total radius (Re): 0.9708381730
# Calculated surface pressure (bar): 45.5529589543
# Calculated surface density (kg m-3): 4000.1724453762
# Mass at layer boundaries (Me): 0.3250247227 1.0000047960
# Radius at layer boundaries (Re): 0.5147559253 0.9708381730
# Pressure at layer boundaries (GPa): 154.6710003733 0.0045552959
# Temperature at layer boundaries (K): 300.0000000000 300.0000000000
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
1.2919263444e+17	1.2810000000e+04	4.3808509965e+11	14845.7905198464	300.0000000000	N/A
1.3225397364e+17	1.2910000000e+04	4.3808502164e+11	14845.7898945747	300.0000000000	N/A
1.3536329534e+17	1.3010000000e+04	4.3808494301e+11	14845.7892643250	300.0000000000	N/A
1.3852097267e+17	1.3110000000e+04	4.3808486377e+11	14845.7886290975	300.0000000000	N/A
1.4172737872e+17	1.3210000000e+04	4.3808478391e+11	14845.7879888919	300.0000000000	N/A
1.4498288662e+17	1.3310000000e+04	4.3808470344e+11	14845.7873437085	300.0000000000	N/A
1.4828786947e+17	1.3410000000e+04	4.3808462235e+11	14845.7866935471	300.0000000000	N/A
1.5164270039e+17	1.3510000000e+04	4.3808454064e+11	14845.7860384078	300.0000000000	N/A
1.5504775247e+17	1.3610000000e+04	4.3808445832e+11	14845.7853782906	300.0000000000	N/A
1.5850339883e+17	1.3710000000e+04	4.3808437538e+11	14845.7847131954	300.0000000000	N/A
1.6201001259e+17	1.3810000000e+04	4.3808429183e+11	14845.7840431223	300.0000000000	N/A
1.6556796684e+17	1.3910000000e+04	4.3808420765e+11	14845.7833680712	300.0000000000	N/A
1.6917763470e+17	1.4010000000e+04	4.3808412287e+11	14845.7826880422	300.0000000000	N/A
1.7283938929e+17	1.4110000000e+04	4.3808403746e+11	14845.7820030353	300.0000000000	N/A
1.7655360369e+17	1.4210000000e+04	4.3808395144e+11	14845.7813130504	300.0000000000	N/A
1.8032065104e+17	1.4310000000e+04	4.3808386481e+11	14845.7806180876	300.0000000000	N/A
1.8414090443e+17	1.4410000000e+04	4.3808377756e+11	14845.7799181468	300.0000000000	N/A
1.8801473698e+17	1.4510000000e+04	4.3808368969e+11	14845.7792132281	300.0000000000	N/A
1.9194252179e+17	1.4610000000e+04	4.3808360120e+11	14845.7785033315	300.0000000000	N/A
1.9592463197e+17	1.4710000000e+04	4.3808351210e+11	14845.7777884569	300.0000000000	N/A
1.9996144064e+17	1.4810000000e+04	4.3808342239e+11	14845.7770686044	300.0000000000	N/A
2.0405332089e+17	1.4910000000e+04	4.3808333205e+11	14845.7763437739	300.0000000000	N/A
2.0820064584e+17	1.5010000000e+04	4.3808324111e+11	14845.7756139655	300.0000000000	N/A
2.1240378860e+17	1.5110000000e+04	4.3808314954e+11	14845.7748791791	300.0000000000	N/A
2.1666312227e+17	1.5210000000e+04	4.3808305736e+11	14845.7741394148	300.0000000000	N/A
2.2097901996e+17	1.5310000000e+04	4.3808296456e+11	14845.7733946726	300.0000000000	N/A
2.2535185478e+17	1.5410000000e+04	4.3808287115e+11	14845.7726449524	300.0000000000	N/A
2.2978199984e+17	1.5510000000e+04	4.3808277712e+11	14845.7718902542	300.0000000000	N/A
2.3426982824e+17	1.5610000000e+04	4.3808268247e+11	14845.7711305781	300.0000000000	N/A
2.3881571309e+17	1.5710000000e+04	4.3808258721e+11	14845.7703659241	300.0000000000	N/A
2.4342002751e+17	1.5810000000e+04	4.3808249133e+11	14845.7695962921	300.0000000000	N/A
2.4808314459e+17	1.5910000000e+04	4.3808239484e+11	14845.7688216822	300.0000000000	N/A
2.5280543745e+17	1.6010000000e+04	4.3808229773e+11	14845.7680420943	300.0000000000	N/A
2.5758727919e+17	1.6110000000e+04	4.3808220000e+11	14845.7672575285	300.0000000000	N/A
2.6242904292e+17	1.6210000000e+04	4.3808210166e+11	14845.7664679847	300.0000000000	N/A
2.6733110174e+17	1.6310000000e+04	4.3808200270e+11	14845.7656734630	300.0000000000	N/A
2.7229382876e+17	1.6410000000e+04	4.3808190313e+11	14845.7648739633	300.0000000000	N/A
2.7731759710e+17	1.6510000000e+04	4.3808180294e+11	14845.7640694857	300.0000000000	N/A
2.8240277985e+17	1.6610000000e+04	4.3808170213e+11	14845.7632600302	300.0000000000	N/A
2.8754975012e+17	1.6710000000e+04	4.3808160071e+11	14845.7624455967	300.0000000000	N/A
2.9275888101e+17	1.6810000000e+04	4.3808149867e+11	14845.7616261852	300.0000000000	N/A
2.9803054564e+17	1.6910000000e+04	4.3808139601e+11	14845.7608017958	300.0000000000	N/A
3.0336511711e+17	1.7010000000e+04	4.3808129274e+11	14845.7599724285	300.0000000000	N/A
3.0876296853e+17	1.7110000000e+04	4.3808118885e+11	14845.7591380832	300.0000000000	N/A
3.1422447300e+17	1.7210000000e+04	4.3808108435e+11	14845.7582987600	300.0000000000	N/A
3.1975000362e+17	1.7310000000e+04	4.3808097923e+11	14845.7574544588	300.0000000000	N/A
3.2533993351e+17	1.7410000000e+04	4.3808087349e+11	14845.7566051797	300.0000000000	N/A
3.3099463577e+17	1.7510000000e+04	4.3808076714e+11	14845.7557509226	300.0000000000	N/A
3.3671448349e+17	1.7610000000e+04	4.3808066017e+11	14845.7548916876	300.0000000000	N/A
3.4249984980e+17	1.7710000000e+04	4.3808055258e+11	14845.7540274747	300.0000000000	N/A
3.4835110779e+17	1.7810000000e+04	4.3808044438e+11	14845.7531582838	300.0000000000	N/A
3.5426863056e+17	1.7910000000e+04	4.3808033557e+11	14845.7522841150	300.0000000000	N/A
3.6025279123e+17	1.8010000000e+04	4.3808022613e+11	14845.7514049682	300.0000000000	N/A
3.6630396290e+17	1.8110000000e+04	4.3808011608e+11	14845.7505208435	300.0000000000	N/A
3.7242251866e+17	1.8210000000e+04	4.3808000542e+11	14845.7496317409	300.0000000000	N/A
3.7860883164e+17	1.8310000000e+04	4.3807989414e+11	14845.7487376603	300.0000000000	N/A
3.8486327492e+17	1.8410000000e+04	4.3807978224e+11	14845.7478386017	300.0000000000	N/A
3.9118622161e+17	1.8510000000e+04	4.3807966972e+11	14845.7469345653	300.0000000000	N/A
3.9757804483e+17	1.8610000000e+04	4.3807955659e+11	14845.7460255509	300.0000000000	N/A
4.0403911766e+17	1.8710000000e+04	4.3807944285e+11	14845.7451115585	300.0000000000	N/A
4.1056981322e+17	1.8810000000e+04	4.3807932848e+11	14845.7441925882	300.0000000000	N/A
4.1717050461e+17	1.8910000000e+04	4.3807921351e+11	14845.7432686400	300.0000000000	N/A
4.2384156493e+17	1.9010000000e+04	4.3807909791e+11	14845.7423397139	300.0000000000	N/A
4.3058336729e+17	1.9110000000e+04	4.3807898170e+11	14845.7414058098	300.0000000000	N/A
4.3739628478e+17	1.9210000000e+04	4.3807886487e+11	14845.7404669277	300.0000000000	N/A
4.4428069052e+17	1.9310000000e+04	4.3807874743e+11	14845.7395230678	300.0000000000	N/A
4.5123695760e+17	1.9410000000e+04	4.3807862937e+11	14845.7385742299	300.0000000000	N/A
4.5826545912e+17	1.9510000000e+04	4.3807851069e+11	14845.7376204141	300.0000000000	N/A
4.6536656819e+17	1.9610000000e+04	4.3807839140e+11	14845.7366616203	300.0000000000	N/A
4.7254065792e+17	1.9710000000e+04	4.3807827150e+11	14845.7356978487	300.0000000000	N/A
4.7978810140e+17	1.9810000000e+04	4.3807815097e+11	14845.7347290991	300.0000000000	N/A
4.8710927173e+17	1.9910000000e+04	4.3807802983e+11	14845.7337553715	300.0000000000	N/A
4.9450454202e+17	2.0010000000e+04	4.3807790808e+11	14845.7327766661	300.0000000000	N/A
5.0197428537e+17	2.0110000000e+04	4.3807778570e+11	14845.7317929827	300.0000000000	N/A
5.0951887488e+17	2.0210000000e+04	4.3807766271e+11	14845.7308043214	300.0000000000	N/A
5.1713868365e+17	2.0310000000e+04	4.3807753911e+11	14845.7298106821	300.0000000000	N/A
5.2483408479e+17	2.0410000000e+04	4.3807741489e+11	14845.7288120650	300.0000000000	N/A
5.3260545139e+17	2.0510000000e+04	4.3807729005e+11	14845.7278084699	300.0000000000	N/A
5.4045315655e+17	2.0610000000e+04	4.3807716460e+11	14845.7267998969	300.0000000000	N/A
5.4837757338e+17	2.0710000000e+04	4.3807703853e+11	14845.7257863460	300.0000000000	N/A
5.5637907498e+17	2.0810000000e+04	4.3807691184e+11	14845.7247678171	300.0000000000	N/A
5.6445803444e+17	2.0910000000e+04	4.3807678454e+11	14845.7237443104	300.0000000000	N/A
5.7261482488e+17	2.1010000000e+04	4.3807665662e+11	14845.7227158257	300.0000000000	N/A
5.8084981938e+17	2.1110000000e+04	4.3807652809e+11	14845.7216823631	300.0000000000	N/A
5.8916339105e+17	2.1210000000e+04	4.3807639894e+11	14845.7206439226	300.0000000000	N/A
5.9755591298e+17	2.1310000000e+04	4.3807626917e+11	14845.7196005042	300.0000000000	N/A
6.0602775829e+17	2.1410000000e+04	4.3807613879e+11	14845.7185521078	300.0000000000	N/A
6.1457930006e+17	2.1510000000e+04	4.3807600779e+11	14845.7174987336	300.0000000000	N/A
6.2321091140e+17	2.1610000000e+04	4.3807587618e+11	14845.7164403814	300.0000000000	N/A
6.3192296540e+17	2.1710000000e+04	4.3807574395e+11	14845.7153770514	300.0000000000	N/A
6.4071583517e+17	2.1810000000e+04	4.3807561110e+11	14845.7143087434	300.0000000000	N/A
6.4958989381e+17	2.1910000000e+04	4.3807547764e+11	14845.7132354575	300.0000000000	N/A
6.5854551440e+17	2.2010000000e+04	4.3807534356e+11	14845.7121571937	300.0000000000	N/A
6.6758307006e+17	2.2110000000e+04	4.3807520886e+11	14845.7110739521	300.0000000000	N/A
6.7670293388e+17	2.2210000000e+04	4.3807507355e+11	14845.7099857325	300.0000000000	N/A
6.8590547895e+17	2.2310000000e+04	4.3807493763e+11	14845.7088925350	300.0000000000	N/A
6.9519107839e+17	2.2410000000e+04	4.3807480108e+11	14845.7077943596	300.0000000000	N/A
7.0456010527e+17	2.2510000000e+04	4.3807466392e+11	14845.7066912063	300.0000000000	N/A
7.1401293271e+17	2.2610000000e+04	4.3807452615e+11	14845.7055830751	300.0000000000	N/A
7.2354993380e+17	2.2710000000e+04	4.3807438775e+11	14845.7044699660	300.0000000000	N/A
7.3317148163e+17	2.2810000000e+04	4.3807424874e+11	14845.7033518790	300.0000000000	N/A
7.4287794931e+17	2.2910000000e+04	4.3807410912e+11	14845.7022288142	300.0000000000	N/A
7.5266970993e+17	2.3010000000e+04	4.3807396888e+11	14845.7011007714	300.0000000000	N/A
7.6254713659e+17	2.3110000000e+04	4.3807382802e+11	14845.6999677508	300.0000000000	N/A
7.7251060239e+17	2.3210000000e+04	4.3807368655e+11	14845.6988297522	300.0000000000	N/A
7.8256048042e+17	2.3310000000e+04	4.3807354446e+11	14845.6976867758	300.0000000000	N/A
7.9269714377e+17	2.3410000000e+04	4.3807340176e+11	14845.6965388215	300.0000000000	N/A
8.0292096555e+17	2.3510000000e+04	4.3807325843e+11	14845.6953858893	300.0000000000	N/A
8.1323231885e+17	2.3610000000e+04	4.3807311450e+11	14845.6942279792	300.0000000000	N/A
8.2363157677e+17	2.3710000000e+04	4.3807296994e+11	14845.6930650912	300.0000000000	N/A
8.3411911239e+17	2.3810000000e+04	4.3807282477e+11	14845.6918972253	300.0000000000	N/A
8.4469529883e+17	2.3910000000e+04	4.3807267899e+11	14845.6907243816	300.0000000000	N/A
8.5536050917e+17	2.4010000000e+04	4.3807253259e+11	14845.6895465600	300.0000000000	N/A
8.6611511651e+17	2.4110000000e+04	4.3807238557e+11	14845.6883637605	300.0000000000	N/A
8.7695949394e+17	2.4210000000e+04	4.3807223793e+11	14845.6871759832	300.0000000000	N/A
8.8789401456e+17	2.4310000000e+04	4.3807208968e+11	14845.6859832279	300.0000000000	N/A
8.9891905146e+17	2.4410000000e+04	4.3807194082e+11	14845.6847854948	300.0000000000	N/A
9.1003497774e+17	2.4510000000e+04	4.3807179133e+11	14845.6835827838	300.0000000000	N/A
9.2124216649e+17	2.4610000000e+04	4.3807164124e+11	14845.6823750950	300.0000000000	N/A
9.3254099081e+17	2.4710000000e+04	4.3807149052e+11	14845.6811624283	300.0000000000	N/A
9.4393182379e+17	2.4810000000e+04	4.3807133919e+11	14845.6799447837	300.0000000000	N/A
9.5541503852e+17	2.4910000000e+04	4.3807118724e+11	14845.6787221613	300.0000000000	N/A
9.6699100810e+17	2.5010000000e+04	4.3807103468e+11	14845.6774945610	300.0000000000	N/A
9.7866010562e+17	2.5110000000e+04	4.3807088150e+11	14845.6762619828	300.0000000000	N/A
