# Earth_adiabatic_iron_silicate_2layer
# Calculated total mass (Me): 0.9998795466
# Calculated total radius (Re): 0.9868325224
# Calculated surface pressure (bar): 14.0129496395
# Calculated surface density (kg m-3): 3359.5000000000
# Mass at layer boundaries (Me): 0.3250077055 0.9998795466
# Radius at layer boundaries (Re): 0.5154151625 0.9868325224
# Pressure at layer boundaries (GPa): 152.3542098369 0.0014012950
# Temperature at layer boundaries (K): 4231.1583516629 2581.6548129777
# M (kg)	R (m)	P (Pa)	rho (kg m-3)	T (K)	layer
4.8514984748e+20	1.9871000000e+05	4.3289758157e+11	14768.6946818491	5495.8580131567	N/A
4.8588265754e+20	1.9881000000e+05	4.3289637046e+11	14768.6849375832	5495.8538376955	N/A
4.8661620487e+20	1.9891000000e+05	4.3289515874e+11	14768.6751884177	5495.8496601287	N/A
4.8735048984e+20	1.9901000000e+05	4.3289394641e+11	14768.6654343525	5495.8454804564	N/A
4.8808551282e+20	1.9911000000e+05	4.3289273347e+11	14768.6556753877	5495.8412986785	N/A
4.8882127417e+20	1.9921000000e+05	4.3289151993e+11	14768.6459115233	5495.8371147950	N/A
4.8955777428e+20	1.9931000000e+05	4.3289030577e+11	14768.6361427593	5495.8329288059	N/A
4.9029501350e+20	1.9941000000e+05	4.3288909101e+11	14768.6263690957	5495.8287407112	N/A
4.9103299222e+20	1.9951000000e+05	4.3288787564e+11	14768.6165905326	5495.8245505109	N/A
4.9177171079e+20	1.9961000000e+05	4.3288665965e+11	14768.6068070699	5495.8203582050	N/A
4.9251116959e+20	1.9971000000e+05	4.3288544306e+11	14768.5970187077	5495.8161637935	N/A
4.9325136898e+20	1.9981000000e+05	4.3288422587e+11	14768.5872254459	5495.8119672764	N/A
4.9399230935e+20	1.9991000000e+05	4.3288300806e+11	14768.5774272847	5495.8077686537	N/A
4.9473399106e+20	2.0001000000e+05	4.3288178964e+11	14768.5676242240	5495.8035679253	N/A
4.9547641447e+20	2.0011000000e+05	4.3288057062e+11	14768.5578162638	5495.7993650914	N/A
4.9621957996e+20	2.0021000000e+05	4.3287935099e+11	14768.5480034042	5495.7951601518	N/A
4.9696348790e+20	2.0031000000e+05	4.3287813074e+11	14768.5381856451	5495.7909531066	N/A
4.9770813866e+20	2.0041000000e+05	4.3287690989e+11	14768.5283629866	5495.7867439557	N/A
4.9845353261e+20	2.0051000000e+05	4.3287568843e+11	14768.5185354288	5495.7825326992	N/A
4.9919967011e+20	2.0061000000e+05	4.3287446637e+11	14768.5087029715	5495.7783193371	N/A
4.9994655154e+20	2.0071000000e+05	4.3287324369e+11	14768.4988656148	5495.7741038693	N/A
5.0069417728e+20	2.0081000000e+05	4.3287202041e+11	14768.4890233588	5495.7698862959	N/A
5.0144254767e+20	2.0091000000e+05	4.3287079651e+11	14768.4791762035	5495.7656666168	N/A
5.0219166311e+20	2.0101000000e+05	4.3286957201e+11	14768.4693241488	5495.7614448321	N/A
5.0294152395e+20	2.0111000000e+05	4.3286834690e+11	14768.4594671948	5495.7572209416	N/A
5.0369213058e+20	2.0121000000e+05	4.3286712118e+11	14768.4496053415	5495.7529949456	N/A
5.0444348335e+20	2.0131000000e+05	4.3286589485e+11	14768.4397385890	5495.7487668438	N/A
5.0519558263e+20	2.0141000000e+05	4.3286466791e+11	14768.4298669372	5495.7445366364	N/A
5.0594842881e+20	2.0151000000e+05	4.3286344037e+11	14768.4199903861	5495.7403043233	N/A
5.0670202224e+20	2.0161000000e+05	4.3286221222e+11	14768.4101089358	5495.7360699045	N/A
5.0745636330e+20	2.0171000000e+05	4.3286098345e+11	14768.4002225863	5495.7318333800	N/A
5.0821145235e+20	2.0181000000e+05	4.3285975408e+11	14768.3903313376	5495.7275947499	N/A
5.0896728978e+20	2.0191000000e+05	4.3285852410e+11	14768.3804351897	5495.7233540140	N/A
5.0972387594e+20	2.0201000000e+05	4.3285729351e+11	14768.3705341426	5495.7191111725	N/A
5.1048121121e+20	2.0211000000e+05	4.3285606232e+11	14768.3606281964	5495.7148662252	N/A
5.1123929595e+20	2.0221000000e+05	4.3285483051e+11	14768.3507173510	5495.7106191722	N/A
5.1199813054e+20	2.0231000000e+05	4.3285359810e+11	14768.3408016065	5495.7063700135	N/A
5.1275771535e+20	2.0241000000e+05	4.3285236507e+11	14768.3308809629	5495.7021187491	N/A
5.1351805074e+20	2.0251000000e+05	4.3285113144e+11	14768.3209554203	5495.6978653790	N/A
5.1427913709e+20	2.0261000000e+05	4.3284989720e+11	14768.3110249785	5495.6936099031	N/A
5.1504097477e+20	2.0271000000e+05	4.3284866235e+11	14768.3010896377	5495.6893523216	N/A
5.1580356415e+20	2.0281000000e+05	4.3284742690e+11	14768.2911493978	5495.6850926342	N/A
5.1656690559e+20	2.0291000000e+05	4.3284619083e+11	14768.2812042590	5495.6808308412	N/A
5.1733099946e+20	2.0301000000e+05	4.3284495416e+11	14768.2712542211	5495.6765669424	N/A
5.1809584614e+20	2.0311000000e+05	4.3284371687e+11	14768.2612992842	5495.6723009379	N/A
