#P (Pa)	rho (kg/m3)
4.491224771601e+09	2.417683536707e+03
4.519560474993e+09	2.421484296859e+03
4.548025849069e+09	2.425285057011e+03
4.576621249530e+09	2.429085817163e+03
4.605347032289e+09	2.432886577315e+03
4.634203553468e+09	2.436687337467e+03
4.663191169401e+09	2.440488097620e+03
4.692310236627e+09	2.444288857772e+03
4.721561111893e+09	2.448089617924e+03
4.750944152151e+09	2.451890378076e+03
4.780459714558e+09	2.455691138228e+03
4.810108156476e+09	2.459491898380e+03
4.839889835464e+09	2.463292658532e+03
4.869805109288e+09	2.467093418684e+03
4.899854335910e+09	2.470894178836e+03
4.930037873490e+09	2.474694938988e+03
4.960356080389e+09	2.478495699140e+03
4.990809315160e+09	2.482296459292e+03
5.021397936555e+09	2.486097219444e+03
5.052122303518e+09	2.489897979596e+03
5.082982775184e+09	2.493698739748e+03
5.113979710884e+09	2.497499499900e+03
5.145113470135e+09	2.501300260052e+03
5.176384412646e+09	2.505101020204e+03
5.207792898313e+09	2.508901780356e+03
5.239339287220e+09	2.512702540508e+03
5.271023939636e+09	2.516503300660e+03
5.302847216015e+09	2.520304060812e+03
5.334809476995e+09	2.524104820964e+03
5.366911083394e+09	2.527905581116e+03
5.399152396215e+09	2.531706341268e+03
5.431533776639e+09	2.535507101420e+03
5.464055586025e+09	2.539307861572e+03
5.496718185913e+09	2.543108621724e+03
5.529521938017e+09	2.546909381876e+03
5.562467204227e+09	2.550710142028e+03
5.595554346608e+09	2.554510902180e+03
5.628783727399e+09	2.558311662332e+03
5.662155709010e+09	2.562112422484e+03
5.695670654021e+09	2.565913182637e+03
5.729328925185e+09	2.569713942789e+03
5.763130885422e+09	2.573514702941e+03
5.797076897820e+09	2.577315463093e+03
5.831167325632e+09	2.581116223245e+03
5.865402532278e+09	2.584916983397e+03
5.899782881343e+09	2.588717743549e+03
5.934308736575e+09	2.592518503701e+03
5.968980461881e+09	2.596319263853e+03
6.003798421334e+09	2.600120024005e+03
6.038762979162e+09	2.603920784157e+03
6.073874499755e+09	2.607721544309e+03
6.109133347660e+09	2.611522304461e+03
6.144539887579e+09	2.615323064613e+03
6.180094484371e+09	2.619123824765e+03
6.215797503049e+09	2.622924584917e+03
6.251649308778e+09	2.626725345069e+03
6.287650266878e+09	2.630526105221e+03
6.323800742817e+09	2.634326865373e+03
6.360101102214e+09	2.638127625525e+03
6.396551710838e+09	2.641928385677e+03
6.433152934603e+09	2.645729145829e+03
6.469905139572e+09	2.649529905981e+03
6.506808691952e+09	2.653330666133e+03
6.543863958097e+09	2.657131426285e+03
