# SiC (zinc-blende structure) EOS from Miozzi et al. (2018)
# Note that the zinc-blende to rock-salt phase transition occurs around 65-70 GPa
# Should switch to rock-salt EOS above that pressure
# Pressure (Pa)	Density (kg/m^3)
3.8246608228e+10	3.6650987255e+03
3.8326166644e+10	3.6658830377e+03
3.8405770835e+10	3.6666673498e+03
3.8485420807e+10	3.6674516619e+03
3.8565116569e+10	3.6682359740e+03
3.8644858129e+10	3.6690202861e+03
3.8724645493e+10	3.6698045982e+03
3.8804478669e+10	3.6705889104e+03
3.8884357664e+10	3.6713732225e+03
3.8964282488e+10	3.6721575346e+03
3.9044253145e+10	3.6729418467e+03
3.9124269645e+10	3.6737261588e+03
3.9204331995e+10	3.6745104710e+03
3.9284440202e+10	3.6752947831e+03
3.9364594274e+10	3.6760790952e+03
3.9444794218e+10	3.6768634073e+03
3.9525040043e+10	3.6776477194e+03
3.9605331754e+10	3.6784320315e+03
3.9685669360e+10	3.6792163437e+03
3.9766052869e+10	3.6800006558e+03
3.9846482288e+10	3.6807849679e+03
3.9926957624e+10	3.6815692800e+03
4.0007478885e+10	3.6823535921e+03
4.0088046079e+10	3.6831379043e+03
4.0168659212e+10	3.6839222164e+03
4.0249318293e+10	3.6847065285e+03
4.0330023329e+10	3.6854908406e+03
4.0410774327e+10	3.6862751527e+03
4.0491571296e+10	3.6870594648e+03
4.0572414242e+10	3.6878437770e+03
4.0653303172e+10	3.6886280891e+03
4.0734238096e+10	3.6894124012e+03
4.0815219019e+10	3.6901967133e+03
4.0896245950e+10	3.6909810254e+03
4.0977318896e+10	3.6917653376e+03
4.1058437864e+10	3.6925496497e+03
4.1139602862e+10	3.6933339618e+03
4.1220813898e+10	3.6941182739e+03
4.1302070979e+10	3.6949025860e+03
4.1383374112e+10	3.6956868981e+03
4.1464723305e+10	3.6964712103e+03
4.1546118566e+10	3.6972555224e+03
4.1627559902e+10	3.6980398345e+03
4.1709047320e+10	3.6988241466e+03
4.1790580828e+10	3.6996084587e+03
4.1872160433e+10	3.7003927709e+03
4.1953786144e+10	3.7011770830e+03
4.2035457967e+10	3.7019613951e+03
4.2117175909e+10	3.7027457072e+03
4.2198939979e+10	3.7035300193e+03
4.2280750184e+10	3.7043143314e+03
