# Diamond EOS from Swift et al. (2022), using a modified Vinet form
# Pressure (Pa)	Density (kg/m^3)
3.5061316511e+11	5.2551275638e+03
3.5159097824e+11	5.2586293147e+03
3.5256986838e+11	5.2621310655e+03
3.5354983539e+11	5.2656328164e+03
3.5453087913e+11	5.2691345673e+03
3.5551299943e+11	5.2726363182e+03
3.5649619614e+11	5.2761380690e+03
3.5748046912e+11	5.2796398199e+03
3.5846581821e+11	5.2831415708e+03
3.5945224327e+11	5.2866433217e+03
3.6043974413e+11	5.2901450725e+03
3.6142832065e+11	5.2936468234e+03
3.6241797267e+11	5.2971485743e+03
3.6340870005e+11	5.3006503252e+03
3.6440050263e+11	5.3041520760e+03
3.6539338026e+11	5.3076538269e+03
3.6638733278e+11	5.3111555778e+03
3.6738236005e+11	5.3146573287e+03
3.6837846191e+11	5.3181590795e+03
3.6937563821e+11	5.3216608304e+03
3.7037388880e+11	5.3251625813e+03
3.7137321352e+11	5.3286643322e+03
3.7237361223e+11	5.3321660830e+03
3.7337508476e+11	5.3356678339e+03
3.7437763097e+11	5.3391695848e+03
3.7538125070e+11	5.3426713357e+03
3.7638594380e+11	5.3461730865e+03
3.7739171012e+11	5.3496748374e+03
3.7839854950e+11	5.3531765883e+03
3.7940646180e+11	5.3566783392e+03
3.8041544685e+11	5.3601800900e+03
3.8142550450e+11	5.3636818409e+03
3.8243663461e+11	5.3671835918e+03
3.8344883701e+11	5.3706853427e+03
3.8446211156e+11	5.3741870935e+03
3.8547645809e+11	5.3776888444e+03
3.8649187647e+11	5.3811905953e+03
3.8750836652e+11	5.3846923462e+03
3.8852592811e+11	5.3881940970e+03
3.8954456107e+11	5.3916958479e+03
3.9056426525e+11	5.3951975988e+03
3.9158504050e+11	5.3986993497e+03
3.9260688666e+11	5.4022011006e+03
3.9362980358e+11	5.4057028514e+03
3.9465379110e+11	5.4092046023e+03
3.9567884908e+11	5.4127063532e+03
3.9670497735e+11	5.4162081041e+03
3.9773217577e+11	5.4197098549e+03
3.9876044417e+11	5.4232116058e+03
3.9978978241e+11	5.4267133567e+03
4.0082019032e+11	5.4302151076e+03
4.0185166776e+11	5.4337168584e+03
4.0288421457e+11	5.4372186093e+03
4.0391783060e+11	5.4407203602e+03
4.0495251568e+11	5.4442221111e+03
4.0598826967e+11	5.4477238619e+03
4.0702509241e+11	5.4512256128e+03
4.0806298375e+11	5.4547273637e+03
4.0910194352e+11	5.4582291146e+03
4.1014197159e+11	5.4617308654e+03
4.1118306778e+11	5.4652326163e+03
4.1222523195e+11	5.4687343672e+03
4.1326846394e+11	5.4722361181e+03
4.1431276360e+11	5.4757378689e+03
4.1535813077e+11	5.4792396198e+03
4.1640456529e+11	5.4827413707e+03
4.1745206701e+11	5.4862431216e+03
4.1850063577e+11	5.4897448724e+03
4.1955027143e+11	5.4932466233e+03
4.2060097382e+11	5.4967483742e+03
4.2165274278e+11	5.5002501251e+03
4.2270557817e+11	5.5037518759e+03
4.2375947983e+11	5.5072536268e+03
4.2481444759e+11	5.5107553777e+03
4.2587048132e+11	5.5142571286e+03
4.2692758084e+11	5.5177588794e+03
4.2798574600e+11	5.5212606303e+03
4.2904497666e+11	5.5247623812e+03
4.3010527265e+11	5.5282641321e+03
4.3116663381e+11	5.5317658829e+03
4.3222905999e+11	5.5352676338e+03
4.3329255104e+11	5.5387693847e+03
4.3435710680e+11	5.5422711356e+03
4.3542272711e+11	5.5457728864e+03
4.3648941182e+11	5.5492746373e+03
4.3755716076e+11	5.5527763882e+03
4.3862597379e+11	5.5562781391e+03
4.3969585075e+11	5.5597798899e+03
4.4076679148e+11	5.5632816408e+03
4.4183879583e+11	5.5667833917e+03
4.4291186364e+11	5.5702851426e+03
4.4398599475e+11	5.5737868934e+03
4.4506118900e+11	5.5772886443e+03
4.4613744625e+11	5.5807903952e+03
4.4721476633e+11	5.5842921461e+03
4.4829314908e+11	5.5877938969e+03
4.4937259436e+11	5.5912956478e+03
4.5045310200e+11	5.5947973987e+03
4.5153467185e+11	5.5982991496e+03
4.5261730375e+11	5.6018009005e+03
4.5370099755e+11	5.6053026513e+03
4.5478575308e+11	5.6088044022e+03
4.5587157020e+11	5.6123061531e+03
4.5695844874e+11	5.6158079040e+03
4.5804638854e+11	5.6193096548e+03
4.5913538946e+11	5.6228114057e+03
4.6022545133e+11	5.6263131566e+03
4.6131657400e+11	5.6298149075e+03
4.6240875731e+11	5.6333166583e+03
4.6350200111e+11	5.6368184092e+03
4.6459630523e+11	5.6403201601e+03
4.6569166952e+11	5.6438219110e+03
4.6678809383e+11	5.6473236618e+03
4.6788557799e+11	5.6508254127e+03
4.6898412185e+11	5.6543271636e+03
4.7008372525e+11	5.6578289145e+03
4.7118438804e+11	5.6613306653e+03
4.7228611005e+11	5.6648324162e+03
4.7338889114e+11	5.6683341671e+03
4.7449273114e+11	5.6718359180e+03
4.7559762989e+11	5.6753376688e+03
4.7670358725e+11	5.6788394197e+03
4.7781060305e+11	5.6823411706e+03
4.7891867713e+11	5.6858429215e+03
4.8002780934e+11	5.6893446723e+03
4.8113799953e+11	5.6928464232e+03
4.8224924752e+11	5.6963481741e+03
4.8336155318e+11	5.6998499250e+03
4.8447491633e+11	5.7033516758e+03
4.8558933682e+11	5.7068534267e+03
4.8670481450e+11	5.7103551776e+03
4.8782134921e+11	5.7138569285e+03
4.8893894078e+11	5.7173586793e+03
4.9005758907e+11	5.7208604302e+03
4.9117729392e+11	5.7243621811e+03
4.9229805516e+11	5.7278639320e+03
4.9341987264e+11	5.7313656828e+03
4.9454274621e+11	5.7348674337e+03
4.9566667570e+11	5.7383691846e+03
4.9679166096e+11	5.7418709355e+03
4.9791770183e+11	5.7453726863e+03
4.9904479816e+11	5.7488744372e+03
5.0017294978e+11	5.7523761881e+03
5.0130215654e+11	5.7558779390e+03
5.0243241828e+11	5.7593796898e+03
5.0356373484e+11	5.7628814407e+03
5.0469610607e+11	5.7663831916e+03
5.0582953181e+11	5.7698849425e+03
5.0696401190e+11	5.7733866933e+03
5.0809954618e+11	5.7768884442e+03
5.0923613450e+11	5.7803901951e+03
5.1037377670e+11	5.7838919460e+03
5.1151247262e+11	5.7873936968e+03
5.1265222210e+11	5.7908954477e+03
5.1379302499e+11	5.7943971986e+03
5.1493488113e+11	5.7978989495e+03
5.1607779036e+11	5.8014007004e+03
5.1722175252e+11	5.8049024512e+03
5.1836676745e+11	5.8084042021e+03
5.1951283501e+11	5.8119059530e+03
5.2065995502e+11	5.8154077039e+03
5.2180812734e+11	5.8189094547e+03
5.2295735181e+11	5.8224112056e+03
5.2410762826e+11	5.8259129565e+03
5.2525895654e+11	5.8294147074e+03
5.2641133649e+11	5.8329164582e+03
5.2756476796e+11	5.8364182091e+03
5.2871925079e+11	5.8399199600e+03
5.2987478481e+11	5.8434217109e+03
5.3103136988e+11	5.8469234617e+03
5.3218900584e+11	5.8504252126e+03
5.3334769252e+11	5.8539269635e+03
5.3450742977e+11	5.8574287144e+03
5.3566821743e+11	5.8609304652e+03
5.3683005534e+11	5.8644322161e+03
5.3799294336e+11	5.8679339670e+03
5.3915688131e+11	5.8714357179e+03
5.4032186904e+11	5.8749374687e+03
5.4148790640e+11	5.8784392196e+03
5.4265499322e+11	5.8819409705e+03
5.4382312935e+11	5.8854427214e+03
5.4499231463e+11	5.8889444722e+03
5.4616254891e+11	5.8924462231e+03
5.4733383202e+11	5.8959479740e+03
5.4850616381e+11	5.8994497249e+03
5.4967954412e+11	5.9029514757e+03
5.5085397280e+11	5.9064532266e+03
5.5202944968e+11	5.9099549775e+03
5.5320597461e+11	5.9134567284e+03
5.5438354743e+11	5.9169584792e+03
