# SiC (rock-salt structure) EOS
# low-density (below 7000.826816 kg/m^3) data come from Miozzi et al. (2018)
# high-density (above 7000.826816 kg/m^3) data come from Wilson & Militzer (2014)
# Pressure (Pa)	Density (kg/m^3)
8.9206160915e+10	4.9040497070e+03
8.9564365015e+10	4.9070365689e+03
8.9922945101e+10	4.9100234309e+03
9.0281901050e+10	4.9130102929e+03
9.0641232738e+10	4.9159971549e+03
9.1000940042e+10	4.9189840168e+03
9.1361022839e+10	4.9219708788e+03
9.1721481006e+10	4.9249577408e+03
9.2082314420e+10	4.9279446028e+03
9.2443522957e+10	4.9309314648e+03
9.2805106493e+10	4.9339183267e+03
9.3167064907e+10	4.9369051887e+03
9.3529398075e+10	4.9398920507e+03
9.3892105874e+10	4.9428789127e+03
9.4255188179e+10	4.9458657747e+03
9.4618644870e+10	4.9488526366e+03
9.4982475821e+10	4.9518394986e+03
9.5346680910e+10	4.9548263606e+03
9.5711260015e+10	4.9578132226e+03
9.6076213011e+10	4.9608000846e+03
9.6441539776e+10	4.9637869465e+03
9.6807240186e+10	4.9667738085e+03
9.7173314119e+10	4.9697606705e+03
9.7539761452e+10	4.9727475325e+03
9.7906582061e+10	4.9757343944e+03
9.8273775823e+10	4.9787212564e+03
9.8641342616e+10	4.9817081184e+03
9.9009282316e+10	4.9846949804e+03
9.9377594801e+10	4.9876818424e+03
9.9746279947e+10	4.9906687043e+03
1.0011533763e+11	4.9936555663e+03
1.0048476773e+11	4.9966424283e+03
1.0085457012e+11	4.9996292903e+03
1.0122474468e+11	5.0026161523e+03
1.0159529129e+11	5.0056030142e+03
1.0196620982e+11	5.0085898762e+03
1.0233750016e+11	5.0115767382e+03
1.0270916217e+11	5.0145636002e+03
1.0308119573e+11	5.0175504622e+03
1.0345360073e+11	5.0205373241e+03
1.0382637703e+11	5.0235241861e+03
1.0419952453e+11	5.0265110481e+03
1.0457304308e+11	5.0294979101e+03
1.0494693258e+11	5.0324847720e+03
1.0532119289e+11	5.0354716340e+03
1.0569582390e+11	5.0384584960e+03
1.0607082548e+11	5.0414453580e+03
1.0644619751e+11	5.0444322200e+03
1.0682193987e+11	5.0474190819e+03
1.0719805243e+11	5.0504059439e+03
1.0757453508e+11	5.0533928059e+03
1.0795138768e+11	5.0563796679e+03
1.0832861012e+11	5.0593665299e+03
1.0870620227e+11	5.0623533918e+03
1.0908416401e+11	5.0653402538e+03
1.0946249522e+11	5.0683271158e+03
1.0984119577e+11	5.0713139778e+03
1.1022026555e+11	5.0743008398e+03
1.1059970443e+11	5.0772877017e+03
1.1097951228e+11	5.0802745637e+03
1.1135968899e+11	5.0832614257e+03
1.1174023443e+11	5.0862482877e+03
1.1212114848e+11	5.0892351496e+03
1.1250243102e+11	5.0922220116e+03
1.1288408193e+11	5.0952088736e+03
1.1326610107e+11	5.0981957356e+03
1.1364848834e+11	5.1011825976e+03
1.1403124360e+11	5.1041694595e+03
1.1441436674e+11	5.1071563215e+03
1.1479785763e+11	5.1101431835e+03
1.1518171615e+11	5.1131300455e+03
1.1556594218e+11	5.1161169075e+03
1.1595053560e+11	5.1191037694e+03
1.1633549627e+11	5.1220906314e+03
1.1672082409e+11	5.1250774934e+03
1.1710651893e+11	5.1280643554e+03
1.1749258066e+11	5.1310512174e+03
1.1787900917e+11	5.1340380793e+03
1.1826580433e+11	5.1370249413e+03
1.1865296601e+11	5.1400118033e+03
1.1904049411e+11	5.1429986653e+03
1.1942838849e+11	5.1459855272e+03
1.1981664903e+11	5.1489723892e+03
1.2020527561e+11	5.1519592512e+03
1.2059426811e+11	5.1549461132e+03
1.2098362641e+11	5.1579329752e+03
