# Graphite EOS from Seager et al. (2007)
# Fitted to 3rd order BME EOS, rho0=2.25 g/cm3, K0 = 33.8 GPa, K'0 = 8.9
# Pressure (Pa)	Density (kg/m^3)
1.0785638637e+10	2.6465732866e+03
1.0821661932e+10	2.6474487244e+03
1.0857745893e+10	2.6483241621e+03
1.0893890565e+10	2.6491995998e+03
1.0930095994e+10	2.6500750375e+03
1.0966362227e+10	2.6509504752e+03
1.1002689308e+10	2.6518259130e+03
1.1039077284e+10	2.6527013507e+03
1.1075526201e+10	2.6535767884e+03
1.1112036104e+10	2.6544522261e+03
1.1148607039e+10	2.6553276638e+03
1.1185239052e+10	2.6562031016e+03
1.1221932190e+10	2.6570785393e+03
1.1258686497e+10	2.6579539770e+03
1.1295502021e+10	2.6588294147e+03
1.1332378806e+10	2.6597048524e+03
1.1369316898e+10	2.6605802901e+03
1.1406316344e+10	2.6614557279e+03
1.1443377190e+10	2.6623311656e+03
1.1480499480e+10	2.6632066033e+03
1.1517683262e+10	2.6640820410e+03
1.1554928581e+10	2.6649574787e+03
1.1592235483e+10	2.6658329165e+03
1.1629604013e+10	2.6667083542e+03
1.1667034219e+10	2.6675837919e+03
1.1704526145e+10	2.6684592296e+03
1.1742079838e+10	2.6693346673e+03
1.1779695344e+10	2.6702101051e+03
1.1817372708e+10	2.6710855428e+03
1.1855111977e+10	2.6719609805e+03
1.1892913197e+10	2.6728364182e+03
1.1930776413e+10	2.6737118559e+03
1.1968701671e+10	2.6745872936e+03
1.2006689018e+10	2.6754627314e+03
1.2044738499e+10	2.6763381691e+03
1.2082850161e+10	2.6772136068e+03
1.2121024049e+10	2.6780890445e+03
1.2159260209e+10	2.6789644822e+03
1.2197558688e+10	2.6798399200e+03
1.2235919531e+10	2.6807153577e+03
1.2274342784e+10	2.6815907954e+03
1.2312828494e+10	2.6824662331e+03
1.2351376706e+10	2.6833416708e+03
1.2389987466e+10	2.6842171086e+03
1.2428660821e+10	2.6850925463e+03
1.2467396816e+10	2.6859679840e+03
1.2506195498e+10	2.6868434217e+03
1.2545056912e+10	2.6877188594e+03
1.2583981105e+10	2.6885942971e+03
1.2622968123e+10	2.6894697349e+03
1.2662018011e+10	2.6903451726e+03
1.2701130816e+10	2.6912206103e+03
1.2740306584e+10	2.6920960480e+03
1.2779545360e+10	2.6929714857e+03
1.2818847192e+10	2.6938469235e+03
